,total_rainfall,no_of_rainy_days,year,month_of_year,date,total_visitor_inbound,mean_temp
132,176.4,11,1993,1,1993-01-01,514013,26.2
133,69.2,8,1993,2,1993-02-01,485346,26.7
134,250.5,14,1993,3,1993-03-01,547795,26.7
135,283.9,20,1993,4,1993-04-01,501180,27.6
136,129.9,10,1993,5,1993-05-01,491664,28.2
137,115.5,17,1993,6,1993-06-01,524277,28.5
138,240.0,15,1993,7,1993-07-01,583347,27.9
139,106.8,11,1993,8,1993-08-01,608843,28.6
140,61.7,7,1993,9,1993-09-01,504648,27.9
141,175.5,13,1993,10,1993-10-01,533969,27.5
142,250.8,18,1993,11,1993-11-01,537176,26.9
143,308.5,19,1993,12,1993-12-01,593419,26.5
144,56.9,7,1994,1,1994-01-01,549022,26.9
145,133.5,15,1994,2,1994-02-01,527574,27.0
146,288.2,19,1994,3,1994-03-01,626918,26.8
147,154.0,15,1994,4,1994-04-01,540643,27.9
148,169.6,16,1994,5,1994-05-01,509545,28.1
149,184.7,14,1994,6,1994-06-01,531476,28.1
150,53.8,6,1994,7,1994-07-01,642768,28.4
151,45.1,12,1994,8,1994-08-01,664329,28.1
152,23.7,6,1994,9,1994-09-01,551510,28.3
153,84.7,11,1994,10,1994-10-01,564144,27.9
154,322.2,21,1994,11,1994-11-01,569103,26.7
155,425.4,18,1994,12,1994-12-01,621277,26.9
156,349.4,21,1995,1,1995-01-01,575652,26.8
157,334.0,16,1995,2,1995-02-01,556744,26.5
158,67.7,10,1995,3,1995-03-01,619688,27.6
159,242.3,16,1995,4,1995-04-01,548881,27.9
160,84.4,11,1995,5,1995-05-01,535270,28.5
161,63.7,12,1995,6,1995-06-01,549326,28.9
162,173.6,13,1995,7,1995-07-01,676075,28.0
163,211.6,21,1995,8,1995-08-01,688445,27.4
164,29.5,7,1995,9,1995-09-01,583492,28.3
165,101.1,12,1995,10,1995-10-01,588420,27.8
166,372.8,20,1995,11,1995-11-01,589339,27.0
167,302.5,20,1995,12,1995-12-01,625206,26.3
168,173.2,10,1996,1,1996-01-01,599742,26.2
169,180.2,11,1996,2,1996-02-01,595491,26.5
170,129.7,8,1996,3,1996-03-01,641447,27.8
171,178.2,15,1996,4,1996-04-01,584109,27.8
172,107.5,15,1996,5,1996-05-01,551828,28.5
173,265.8,15,1996,6,1996-06-01,586963,28.3
174,162.3,10,1996,7,1996-07-01,651103,28.3
175,258.4,18,1996,8,1996-08-01,655073,27.4
176,297.0,18,1996,9,1996-09-01,548876,27.7
177,300.0,19,1996,10,1996-10-01,600917,27.5
178,180.2,16,1996,11,1996-11-01,599164,27.3
179,185.5,15,1996,12,1996-12-01,677653,26.6
180,15.4,3,1997,1,1997-01-01,612265,27.1
181,105.4,8,1997,2,1997-02-01,634403,27.4
182,34.3,10,1997,3,1997-03-01,657483,28.1
183,118.4,12,1997,4,1997-04-01,595444,28.1
184,41.6,6,1997,5,1997-05-01,582119,29.3
185,78.9,12,1997,6,1997-06-01,607848,29.3
186,18.6,9,1997,7,1997-07-01,692050,28.8
187,86.6,9,1997,8,1997-08-01,645090,28.8
188,31.1,3,1997,9,1997-09-01,564369,28.8
189,78.4,8,1997,10,1997-10-01,495322,28.2
190,158.3,13,1997,11,1997-11-01,535236,27.8
191,351.9,23,1997,12,1997-12-01,576242,27.3
192,268.8,13,1998,1,1998-01-01,509727,28.0
193,32.5,5,1998,2,1998-02-01,497566,28.9
194,58.8,7,1998,3,1998-03-01,519496,29.5
195,187.7,13,1998,4,1998-04-01,491496,29.2
196,370.8,18,1998,5,1998-05-01,548506,29.4
197,198.8,15,1998,6,1998-06-01,487361,28.6
198,259.2,18,1998,7,1998-07-01,556870,28.1
199,195.0,18,1998,8,1998-08-01,569901,27.5
200,258.2,17,1998,9,1998-09-01,482654,27.9
201,222.7,20,1998,10,1998-10-01,498695,28.0
202,107.2,11,1998,11,1998-11-01,506970,27.9
203,463.4,22,1998,12,1998-12-01,572910,26.6
204,193.9,19,1999,1,1999-01-01,570444,26.6
205,67.4,9,1999,2,1999-02-01,517554,27.2
206,181.4,16,1999,3,1999-03-01,580426,27.1
207,88.5,14,1999,4,1999-04-01,524455,28.3
208,157.1,13,1999,5,1999-05-01,558554,28.0
209,103.4,13,1999,6,1999-06-01,575055,28.2
210,225.4,11,1999,7,1999-07-01,629435,27.8
211,204.0,13,1999,8,1999-08-01,629991,27.5
212,125.9,13,1999,9,1999-09-01,557649,27.9
213,205.0,20,1999,10,1999-10-01,604306,27.2
214,241.5,19,1999,11,1999-11-01,594301,27.3
215,340.5,17,1999,12,1999-12-01,616031,26.8
216,275.2,14,2000,1,2000-01-01,637852,26.3
217,237.8,18,2000,2,2000-02-01,601281,26.6
218,238.3,15,2000,3,2000-03-01,640922,27.2
219,311.6,20,2000,4,2000-04-01,636970,27.5
220,96.8,10,2000,5,2000-05-01,595838,28.6
221,157.5,16,2000,6,2000-06-01,609008,27.6
222,116.1,12,2000,7,2000-07-01,707413,28.1
223,113.5,18,2000,8,2000-08-01,695965,27.5
224,81.1,12,2000,9,2000-09-01,612708,28.0
225,120.9,14,2000,10,2000-10-01,636185,27.8
226,385.7,21,2000,11,2000-11-01,625618,27.3
227,236.0,18,2000,12,2000-12-01,691639,27.0
228,425.8,21,2001,1,2001-01-01,658216,26.5
229,86.6,11,2001,2,2001-02-01,592592,27.0
230,297.3,20,2001,3,2001-03-01,665565,27.5
231,203.3,18,2001,4,2001-04-01,613320,27.7
232,164.9,12,2001,5,2001-05-01,605891,28.5
233,137.1,11,2001,6,2001-06-01,609958,28.2
234,111.3,9,2001,7,2001-07-01,714944,28.4
235,158.3,14,2001,8,2001-08-01,693902,28.0
236,162.0,13,2001,9,2001-09-01,593827,28.0
237,252.2,20,2001,10,2001-10-01,569622,27.6
238,175.3,15,2001,11,2001-11-01,534049,27.2
239,609.0,20,2001,12,2001-12-01,670277,26.7
240,221.2,11,2002,1,2002-01-01,596710,27.0
241,50.8,2,2002,2,2002-02-01,598861,27.3
242,55.6,8,2002,3,2002-03-01,655151,28.2
243,116.5,13,2002,4,2002-04-01,622301,28.6
244,236.6,13,2002,5,2002-05-01,606144,28.9
245,83.1,12,2002,6,2002-06-01,601969,28.7
246,233.7,11,2002,7,2002-07-01,679574,28.4
247,54.2,14,2002,8,2002-08-01,671638,28.5
248,124.2,9,2002,9,2002-09-01,597453,28.1
249,10.8,7,2002,10,2002-10-01,638673,28.7
250,307.2,15,2002,11,2002-11-01,588742,27.4
251,255.0,24,2002,12,2002-12-01,709616,27.2
252,444.2,20,2003,1,2003-01-01,641734,26.7
253,172.9,13,2003,2,2003-02-01,613395,27.1
254,154.6,11,2003,3,2003-03-01,559945,28.1
255,159.9,20,2003,4,2003-04-01,203562,27.9
256,81.8,11,2003,5,2003-05-01,177808,29.2
257,50.3,12,2003,6,2003-06-01,316587,28.9
258,170.4,14,2003,7,2003-07-01,540914,28.1
259,193.6,13,2003,8,2003-08-01,602240,28.2
260,205.3,15,2003,9,2003-09-01,556871,27.6
261,351.4,21,2003,10,2003-10-01,586390,27.6
262,133.8,19,2003,11,2003-11-01,635716,27.1
263,273.0,17,2003,12,2003-12-01,691786,26.5
264,600.9,13,2004,1,2004-01-01,651951,26.9
265,31.9,4,2004,2,2004-02-01,591565,27.6
